PETERSBURG          AK - 703860                                                 														
 56 deg    49' N  132 deg    58' W - Elev    0m   LST=GMT+99 hours   *NT= -9    														
 01/73-08/02                                                                    														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.09	1.87	2.07	2.2	2.4	2.48	2.26	1.93	1.82	1.91	2.16	1.94	2.04
	1973	1.72	1.66	1.36	1.61	2.08	2.57	2.43	1.99	1.81	1.73	1.49	1.04	1.25
	1974	1.83	0.83	1.36	1.71	1.47	2.11	2.16	2.03	2.08	1.87	2.43	1.8	2.37
	1975	2.18	2.48	2.58	2.13	2.35	2.39	2.25	2.23	2.01	2.01	2.12	1.52	1.84
	1976	2.11	2.13	2.24	2.55	2.38	2.76	1.99	1.6	1.46	1.74	1.77	2.11	2.12
	1977	2.15	1.79	2.92	2.36	2.44	2.55	2.24	2.06	1.78	1.7	2.99	2.01	1.61
	1978	2.07	1.12	2.21	2.18	2.37	2.48	2.25	2.24	1.95	1.8	2.87	1.66	2.13
	1979	2.4	0.8	1.9	2.54	2.56	2.65	2.65	2.84	2.65	2.65	2.48	2.8	2.6
	1980	3.15	3.07	2.16	3.23	3.62	3.37	3.3	3.01	2.81	3.06	3.28	3.34	3.27
	1981	2.91	3.27	2.69	3.22	3.17	2.66	3.08	2.93	2.6	2.82	2.35	3.14	2.97
	1982	2.91	3.61	2.87	2.17	3.39	3.34	3.15	3.01	2.5	2.29	3.37	2.41	2.75
	1983	2.83	3.58	2.49	3.17	2.94	3.16	3	3	2.79	2.98	2.81	2.31	2.15
	1984	2.93	2.67	3.33	3.33	3.65	3.28	2.83	2.58	2.5	2.52	3.07	2.72	2.62
	1985	2.9	2.92	2.85	3.03	3.48	3.25	3.32	2.78	2.67	2.38	2.63	2.81	2.62
	1986	2.84	3.15	3.11	3.3	3.8	3.16	3.44	2.58	2.61	2.56	2.21	1.35	1.88
	1987	1.57	1.7	1.47	0.44	2.28	1.1	1.15	0.8	1.45	1.88	1.52	1.83	2.49
	1988	3.04	2.51	3.01	3.44	3.57	3.59	3.32	2.72	2.67	2.79	2.77	3.18	2.83
	1989	2.84	3.52	2.54	3.16	2.85	3.1	3.26	2.52	2.26	2.61	3.28	2.97	2.24
	1990	2.86	2.12	2.98	2.84	3.16	3.12	3.05	2.87	2.7	2.84	3.33	2.59	2.74
	1991	2.95	2.13	3.04	2.72	3.23	3.57	3.21	2.6	2.96	2.48	2.89	3.27	3.33
	1992	2.75	3.2	2.94	2.79	3.39	3.72	3.08	2.55	2.47	3.02	2.86	2.42	1.69
	1993	1.2	1.06	1.3	1.62	1.41	1.62	1.27	1.35	1.11	0.82	0.84	0.63	1.36
	1994	1.93	0.79	1.89	2.8	2.8	2.8	2.2	1.72	1.66	1.77	2.26	1.88	1.9
	1995	1.9	1.6	2.07	2.13	2.71	2.56	2.51	2	1.74	1.47	1.7	1.23	0.99
	1996	1.61	0.85	1.61	1.68	2.45	2.21	1.82	1.5	1.13	1.45	1.74	1.34	1.92
	1997	1.55	1.49	0.97	2.1	1.69	1.83	1.57	1.27	1.44	1.15	1.6	1.31	2.2
	1998	1.76	1.52	2.5	1.4	1.99	2.03	2.13	1.56	1.25	1.37	1.8	1.37	2.15
	1999	1.73	1.34	2.34	1.69	1.89	2.06	1.72	1.59	1.38	1.47	1.72	2.12	1.35
	2000	1.63	1.4	1.28	1.88	2.04	1.99	1.71	1.43	1.38	1.58	1.68	1.54	1.6
	2001	2.22	2	1.31	1.85	1.91	2.83	2.42	2.4	2.47	2.69	2.77	2.6	2.45
	2002	1.71	2.6	1.72	1.74	1.8	1.87	1.8	1.18	1.29	-1	-1	-1	-1
POWER BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	22	22	23	24	26	25	21	13	13	17	27	24	24
	1973	13	11	5	8	13	70	16	10	8	6	5	3	13
	1974	13	2	5	7	5	14	41	8	8	7	17	8	35
	1975	15	29	23	33	13	14	10	11	7	7	12	8	11
	1976	16	15	14	19	14	56	10	8	7	8	10	12	11
	1977	15	5	33	15	19	19	11	10	8	7	40	16	9
	1978	20	4	18	15	17	17	10	16	13	16	39	33	34
	1979	30	12	19	45	29	32	24	31	28	28	29	59	31
	1980	43	56	23	39	63	40	38	58	26	29	48	56	36
	1981	40	58	33	50	62	31	37	33	27	32	24	60	40
	1982	35	79	42	18	42	44	32	31	17	17	50	21	32
	1983	30	61	27	39	32	33	28	56	23	31	27	16	10
