KAKE SEAPLANE BASE  AK - 703855                                                 														
 56 deg    58' N  133 deg    57' W - Elev    0m   LST=GMT+99 hours   *NT= -9    														
 01/73-09/79 01/81-09/02                                                        														
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	ALL	2.89	3.05	3.07	3.21	2.92	2.8	2.38	2.26	2.39	2.68	3.48	3.39	3.39
	1973	2.48	2.63	2.91	2.71	2.8	2.81	1.9	2.13	2.33	1.87	2.56	2.52	2.38
	1974	2.36	2.17	2.97	2.09	2.2	3.31	2.38	1.96	1.95	1.83	2.65	2.38	2.74
	1975	2.11	2.2	2.7	1.95	2.13	2.01	2.09	2.01	1.81	1.9	2.23	2.12	2.16
	1976	2.16	2.24	2.09	2.32	1.95	2.3	2.2	2.17	1.88	1.75	2.37	2.3	2.08
	1977	3.01	1.85	2.65	2.15	4.21	3.25	3.45	3.08	2.06	3.07	4.19	3.23	2.85
	1978	3.39	2.49	3.57	3.66	2.69	3.88	3.13	3.01	2.64	3.24	4.93	3.43	3.7
	1979	3.1	3.25	2.59	4.28	2.66	3.28	3.15	2.58	2.46	3.56	-1	-1	-1
	1981	3.32	2.89	3.53	3.54	3.63	2.65	3.33	3.53	3.21	3.16	3.42	3.62	2.95
	1982	2.51	2.76	2.36	1.72	2.48	2.35	2.08	2.27	1.88	2.28	3.99	2.88	3.06
	1983	3.31	4.09	3.33	2.76	3.68	3.68	3.07	2.89	3.27	2.89	4.26	3.13	2.55
	1984	3.74	3.87	4.85	4.14	3.99	3.67	3.54	3.5	3.55	3.06	3.83	3.28	3.05
	1985	3.22	3.15	3.32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
	1986	2.1	-1	-1	-1	-1	2.64	2.6	1.63	1.53	1.44	2.02	1.77	-1
	1987	2.83	-1	-1	-1	-1	-1	2.44	1.89	1.85	2.79	3.46	4.02	3.39
	1988	3.25	2.77	3.42	3.83	3.13	3.01	2.83	2.3	2.45	2.9	3.8	5.55	3.84
	1989	3.43	4.64	1.96	3.57	2.94	3.26	3.16	2.48	2.2	3.01	4.25	5.08	4.02
